DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.1049686
Formation Factor (ratio)                9.0228361
Cementation Factor (ratio)              2.1446726
pore density (1/um3)                    0.0014075
Tortuosity (ratio)                      1.3688987
Average Coordination Number             3.9096713
Average Throat Radius (um)              2.3503102
Average Pore Radius (um)                3.1769302
Average Throat Length (um)              8.6594883
Pore to Throat Aspect ratio             7.2565615
Specific Surface (1/um)                 0.0002264
Pore Sphericity (ratio)                 4.922501
Grain Sphericity (ratio)                0.7821889
Average Grain Radius (um)               3.9825206
Relative Young Module (ratio)           0.1478454

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.1839277
0.02                                    1.9268203
0.03                                    1.987077
0.04                                    1.6618254
0.05                                    1.8101025
0.06                                    1.7889365
0.07                                    1.6137087
0.08                                    1.6915305
0.09                                    1.6120822
0.1                                     1.6518448
0.11                                    1.6769762
0.12                                    1.5476087
0.13                                    1.7060802
0.14                                    1.743172
0.15                                    1.6903948
0.16                                    1.5111226
0.17                                    1.5190315
0.18                                    1.5427118
0.19                                    1.5521758
0.2                                     1.5220161
0.21                                    1.5917958
0.22                                    1.4604332
0.23                                    1.4697671
0.24                                    1.5958826
0.25                                    1.4257106
0.26                                    1.4992153
0.27                                    1.5998011
0.28                                    1.5350875
0.29                                    1.3992955
0.3                                     1.502898
0.31                                    1.6126782
0.32                                    1.5694485
0.33                                    1.4095771
0.34                                    1.529441
0.35                                    1.5332681
0.36                                    1.5751819
0.37                                    1.6328092
0.38                                    1.5158009
0.39                                    1.40252
0.4                                     1.6726759
0.41                                    1.5798949
0.42                                    1.5744337
0.43                                    1.4127633
0.44                                    1.5264116
0.45                                    1.3422613
0.46                                    1.5412111
0.47                                    1.5515607
0.48                                    1.499596
0.49                                    1.5338898
0.5                                     1.4622886
0.51                                    1.5710998
0.52                                    1.4152252
0.53                                    1.5438247
0.54                                    1.5127643
0.55                                    1.4953821
0.56                                    1.3418774
0.57                                    1.3559916
0.58                                    1.5319545
0.59                                    1.5361545
0.6                                     1.5283001
0.61                                    1.4353054
0.62                                    1.427278
0.63                                    1.5073261
0.64                                    1.4669287
0.65                                    1.4249155
0.66                                    1.5124918
0.67                                    1.5343626
0.68                                    1.529479
0.69                                    1.5360079
0.7                                     1.503277
0.71                                    1.3801699
0.72                                    1.4626115
0.73                                    1.3998218
0.74                                    1.4146403
0.75                                    1.3398554
0.76                                    1.3745474
0.77                                    1.3549198
0.78                                    1.4488697
0.79                                    1.4520239
0.8                                     1.4095849
0.81                                    1.4431958
0.82                                    1.3893796
0.83                                    1.6201478
0.84                                    1.4130144
0.85                                    1.4625766
0.86                                    1.4488632
0.87                                    1.2842018
0.88                                    1.4060803
0.89                                    1.4983424
0.9                                     1.4650514
0.91                                    1.4279333
0.92                                    1.1351103
0.93                                    1.370861
0.94                                    1.2834098
0.95                                    1.4572676
0.96                                    1.383228
0.97                                    1.3145723
0.98                                    1.2495638
0.99                                    1.1517356
1.0                                     0.8718862


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0220952
0.02                                    0.023381
0.03                                    0.0301622
0.04                                    0.0232398
0.05                                    0.024596
0.06                                    0.0214215
0.07                                    0.02008
0.08                                    0.0220838
0.09                                    0.0205378
0.1                                     0.0231577
0.11                                    0.0246977
0.12                                    0.0212522
0.13                                    0.0213447
0.14                                    0.0235523
0.15                                    0.0255209
0.16                                    0.0242276
0.17                                    0.0233507
0.18                                    0.0256158
0.19                                    0.0287181
0.2                                     0.0266845
0.21                                    0.0253515
0.22                                    0.0268571
0.23                                    0.0291569
0.24                                    0.0390539
0.25                                    0.0348507
0.26                                    0.0399828
0.27                                    0.0374456
0.28                                    0.0549123
0.29                                    0.0515142
0.3                                     0.0616445
0.31                                    0.0603713
0.32                                    0.0805784
0.33                                    0.0658275
0.34                                    0.0646726
0.35                                    0.0734477
0.36                                    0.0821722
0.37                                    0.0806209
0.38                                    0.0889097
0.39                                    0.099619
0.4                                     0.107501
0.41                                    0.1225335
0.42                                    0.1042353
0.43                                    0.1153027
0.44                                    0.1234628
0.45                                    0.1205582
0.46                                    0.1387483
0.47                                    0.1331698
0.48                                    0.1461574
0.49                                    0.1463905
0.5                                     0.1645952
0.51                                    0.1564365
0.52                                    0.1633338
0.53                                    0.1789846
0.54                                    0.1917665
0.55                                    0.1971743
0.56                                    0.1953255
0.57                                    0.2141789
0.58                                    0.2361431
0.59                                    0.2110672
0.6                                     0.2142361
0.61                                    0.2443505
0.62                                    0.2260824
0.63                                    0.2351254
0.64                                    0.2516528
0.65                                    0.2552152
0.66                                    0.2789279
0.67                                    0.2789826
0.68                                    0.2666794
0.69                                    0.2686545
0.7                                     0.2940444
0.71                                    0.2915174
0.72                                    0.2890542
0.73                                    0.3027551
0.74                                    0.2986962
0.75                                    0.2934567
0.76                                    0.3203788
0.77                                    0.3091011
0.78                                    0.3348925
0.79                                    0.3203417
0.8                                     0.3347164
0.81                                    0.3683562
0.82                                    0.3421564
0.83                                    0.353642
0.84                                    0.3533877
0.85                                    0.362278
0.86                                    0.4322443
0.87                                    0.420031
0.88                                    0.4758829
0.89                                    0.4699592
0.9                                     0.4784544
0.91                                    0.4908561
0.92                                    0.5030757
0.93                                    0.5278291
0.94                                    0.5421001
0.95                                    0.5793649
0.96                                    0.5850919
0.97                                    0.6247877
0.98                                    0.6302487
0.99                                    0.6736263
1.0                                     0.9799325


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.97417
0.02                                    0.9339779
0.03                                    0.9113061
0.04                                    0.866794
0.05                                    0.8683977
0.06                                    0.8262177
0.07                                    0.8347337
0.08                                    0.8023553
0.09                                    0.7580382
0.1                                     0.7836046
0.11                                    0.7371755
0.12                                    0.735489
0.13                                    0.7497294
0.14                                    0.7392751
0.15                                    0.7170572
0.16                                    0.6918653
0.17                                    0.6933806
0.18                                    0.6978793
0.19                                    0.6631873
0.2                                     0.6600648
0.21                                    0.6496658
0.22                                    0.6398551
0.23                                    0.6527374
0.24                                    0.6370027
0.25                                    0.6173092
0.26                                    0.6051828
0.27                                    0.6003287
0.28                                    0.5804439
0.29                                    0.5878571
0.3                                     0.5842692
0.31                                    0.5452545
0.32                                    0.5712537
0.33                                    0.5584177
0.34                                    0.5921422
0.35                                    0.5589358
0.36                                    0.5438904
0.37                                    0.5640231
0.38                                    0.5446571
0.39                                    0.5494672
0.4                                     0.5590103
0.41                                    0.5340922
0.42                                    0.5371327
0.43                                    0.5154801
0.44                                    0.5248466
0.45                                    0.5270871
0.46                                    0.4985866
0.47                                    0.5053375
0.48                                    0.460088
0.49                                    0.485723
0.5                                     0.4848339
0.51                                    0.4696201
0.52                                    0.4448924
0.53                                    0.4216389
0.54                                    0.4437599
0.55                                    0.4332785
0.56                                    0.4189923
0.57                                    0.4384897
0.58                                    0.4183862
0.59                                    0.4358744
0.6                                     0.4332986
0.61                                    0.4362085
0.62                                    0.4241011
0.63                                    0.3951817
0.64                                    0.4041013
0.65                                    0.4156717
0.66                                    0.3741471
0.67                                    0.3796293
0.68                                    0.3843673
0.69                                    0.3935452
0.7                                     0.3880738
0.71                                    0.3818356
0.72                                    0.3761522
0.73                                    0.3839858
0.74                                    0.3432605
0.75                                    0.3684145
0.76                                    0.3427481
0.77                                    0.356365
0.78                                    0.3319987
0.79                                    0.3437134
0.8                                     0.3247529
0.81                                    0.3275405
0.82                                    0.3179507
0.83                                    0.3101586
0.84                                    0.2719595
0.85                                    0.2963915
0.86                                    0.2822993
0.87                                    0.2643497
0.88                                    0.254285
0.89                                    0.2275578
0.9                                     0.2131123
0.91                                    0.1930661
0.92                                    0.2111297
0.93                                    0.1923778
0.94                                    0.1725605
0.95                                    0.1349694
0.96                                    0.1199663
0.97                                    0.092462
0.98                                    0.088827
0.99                                    0.080584
1.0                                     0.0227041


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.3524553
1.0                                     0.3605386
1.5                                     0.3561893
2.0                                     0.3545681
2.5                                     0.3611206
3.0                                     0.3498437
3.5                                     0.3278215
4.0                                     0.3398208
4.5                                     0.3529877
5.0                                     0.3401059
5.5                                     0.330275
6.0                                     0.3427308
6.5                                     0.3268066
7.0                                     0.3129774
7.5                                     0.3182439
8.0                                     0.3125417
8.5                                     0.3187035
9.0                                     0.3034487
9.5                                     0.2997635
10.0                                    0.2963991
10.5                                    0.3073989
11.0                                    0.3055317
11.5                                    0.2983639
12.0                                    0.3043397
12.5                                    0.3013372
13.0                                    0.2966177
13.5                                    0.28994
14.0                                    0.2722713
14.5                                    0.2784885
15.0                                    0.2857692
15.5                                    0.2831255
16.0                                    0.2751533
16.5                                    0.2710749
17.0                                    0.2736542
17.5                                    0.2657094
18.0                                    0.2691088
18.5                                    0.2566581
19.0                                    0.2441818
19.5                                    0.2685867
20.0                                    0.2703928
20.5                                    0.2583174
21.0                                    0.2585715
21.5                                    0.2696486
22.0                                    0.2419105
22.5                                    0.2698726
23.0                                    0.2617829
23.5                                    0.2564576
24.0                                    0.2499924
24.5                                    0.2432833
25.0                                    0.2376471
25.5                                    0.2341972
26.0                                    0.2685761
26.5                                    0.2503501
27.0                                    0.2545163
27.5                                    0.2481988
28.0                                    0.2480267
28.5                                    0.2407933
29.0                                    0.2405658
29.5                                    0.2488042
30.0                                    0.2382261
30.5                                    0.2499038
31.0                                    0.2300861
31.5                                    0.235403
32.0                                    0.2368294
32.5                                    0.2533658
33.0                                    0.2359345
33.5                                    0.2314577
34.0                                    0.2472732
34.5                                    0.2424421
35.0                                    0.2237353
35.5                                    0.2434191
36.0                                    0.2343428
36.5                                    0.2336037
37.0                                    0.2405473
37.5                                    0.2359505
38.0                                    0.2380346
38.5                                    0.2403784
39.0                                    0.2477504
39.5                                    0.232042
40.0                                    0.2416825
40.5                                    0.2295186
41.0                                    0.2352057
41.5                                    0.2412927
42.0                                    0.243151
42.5                                    0.228023
43.0                                    0.223232
43.5                                    0.244731
44.0                                    0.2341309
44.5                                    0.224709
45.0                                    0.2334202
45.5                                    0.2328046
46.0                                    0.2244437
46.5                                    0.2383201
47.0                                    0.2388131
47.5                                    0.2434994
48.0                                    0.2401121
48.5                                    0.2456011
49.0                                    0.2350388
49.5                                    0.2517499
50.0                                    0.2357605


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    4.6165001
0.02                                    5.8188965
0.03                                    7.1211356
0.04                                    8.356636
0.05                                    8.804559
0.06                                    9.7301173
0.07                                    10.5262276
0.08                                    10.8343146
0.09                                    11.7923274
0.1                                     11.1612307
0.11                                    12.0126886
0.12                                    13.3555329
0.13                                    13.3910552
0.14                                    12.1499622
0.15                                    12.6551328
0.16                                    14.2924497
0.17                                    12.170737
0.18                                    14.4383315
0.19                                    13.1254765
0.2                                     14.4231088
0.21                                    15.2527157
0.22                                    13.8075843
0.23                                    13.8328398
0.24                                    13.1092364
0.25                                    15.7098624
0.26                                    13.4686482
0.27                                    15.6123945
0.28                                    15.0395976
0.29                                    15.1659145
0.3                                     15.0055936
0.31                                    14.719141
0.32                                    14.7387067
0.33                                    15.1207328
0.34                                    15.2414287
0.35                                    15.5105284
0.36                                    15.7784731
0.37                                    15.8831391
0.38                                    15.923775
