DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.3114829
Formation Factor (ratio)                4.4216312
Cementation Factor (ratio)              1.9249517
pore density (1/um3)                    0.0013251
Tortuosity (ratio)                      1.2832421
Average Coordination Number             4.3868757
Average Throat Radius (um)              2.5560609
Average Pore Radius (um)                3.4915835
Average Throat Length (um)              9.4388666
Pore to Throat Aspect ratio             8.3008292
Specific Surface (1/um)                 0.0002813
Pore Sphericity (ratio)                 5.56333
Grain Sphericity (ratio)                0.788154
Average Grain Radius (um)               3.6574763
Relative Young Module (ratio)           0.0887178

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    2.563663
0.02                                    2.3871074
0.03                                    2.2239533
0.04                                    2.4071775
0.05                                    2.2381892
0.06                                    2.1929395
0.07                                    2.1795577
0.08                                    2.0452719
0.09                                    2.2010243
0.1                                     2.0232374
0.11                                    2.0433566
0.12                                    1.8633151
0.13                                    2.1213722
0.14                                    2.0232226
0.15                                    2.0663381
0.16                                    1.84676
0.17                                    1.8857062
0.18                                    1.8453692
0.19                                    2.0025806
0.2                                     1.9527686
0.21                                    1.8486036
0.22                                    1.9417456
0.23                                    1.7815836
0.24                                    1.9472693
0.25                                    1.6884813
0.26                                    1.8999155
0.27                                    1.5301428
0.28                                    1.8495362
0.29                                    1.7338924
0.3                                     1.9051525
0.31                                    1.7614343
0.32                                    1.8266156
0.33                                    1.8389888
0.34                                    1.6501356
0.35                                    1.8220904
0.36                                    1.7880468
0.37                                    1.7575848
0.38                                    1.6274242
0.39                                    1.7155087
0.4                                     1.6757886
0.41                                    1.7703299
0.42                                    2.0412984
0.43                                    1.8733613
0.44                                    1.8089646
0.45                                    1.8746429
0.46                                    1.6164846
0.47                                    1.7778974
0.48                                    1.6842483
0.49                                    1.8397583
0.5                                     1.6855276
0.51                                    1.84585
0.52                                    1.5900146
0.53                                    1.5359585
0.54                                    1.6492704
0.55                                    1.7831595
0.56                                    1.68006
0.57                                    1.6659781
0.58                                    1.676417
0.59                                    1.6796183
0.6                                     1.6618126
0.61                                    1.6551036
0.62                                    1.7011851
0.63                                    1.659657
0.64                                    1.7549725
0.65                                    1.6405585
0.66                                    1.6184913
0.67                                    1.7786936
0.68                                    1.5878146
0.69                                    1.7538931
0.7                                     1.7928002
0.71                                    1.5391555
0.72                                    1.7304241
0.73                                    1.6636458
0.74                                    1.7365952
0.75                                    1.5358945
0.76                                    1.4747001
0.77                                    1.7282398
0.78                                    1.7391934
0.79                                    1.5325973
0.8                                     1.6511785
0.81                                    1.3892427
0.82                                    1.667123
0.83                                    1.4526746
0.84                                    1.4459358
0.85                                    1.6391199
0.86                                    1.640556
0.87                                    1.4850578
0.88                                    1.4184168
0.89                                    1.517941
0.9                                     1.5122631
0.91                                    1.5825601
0.92                                    1.4853296
0.93                                    1.6269558
0.94                                    1.8027575
0.95                                    1.6583943
0.96                                    1.4420493
0.97                                    1.550165
0.98                                    1.434052
0.99                                    1.464734
1.0                                     1.2270699


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0209187
0.02                                    0.0220518
0.03                                    0.034877
0.04                                    0.0299381
0.05                                    0.0236235
0.06                                    0.0226657
0.07                                    0.0276722
0.08                                    0.0188917
0.09                                    0.0186685
0.1                                     0.030297
0.11                                    0.0296867
0.12                                    0.0205708
0.13                                    0.0295067
0.14                                    0.0279483
0.15                                    0.0289689
0.16                                    0.0236951
0.17                                    0.0240547
0.18                                    0.023731
0.19                                    0.0388293
0.2                                     0.020558
0.21                                    0.0195043
0.22                                    0.0437235
0.23                                    0.0439602
0.24                                    0.0339987
0.25                                    0.0214888
0.26                                    0.0334902
0.27                                    0.0406501
0.28                                    0.0513289
0.29                                    0.0455672
0.3                                     0.0611035
0.31                                    0.0538367
0.32                                    0.0601775
0.33                                    0.0805044
0.34                                    0.0877306
0.35                                    0.085648
0.36                                    0.0824915
0.37                                    0.0952823
0.38                                    0.0880993
0.39                                    0.1161996
0.4                                     0.0997378
0.41                                    0.1244627
0.42                                    0.1002426
0.43                                    0.1107204
0.44                                    0.110865
0.45                                    0.1152575
0.46                                    0.1272153
0.47                                    0.1148198
0.48                                    0.1128972
0.49                                    0.1240008
0.5                                     0.1667865
0.51                                    0.1360436
0.52                                    0.1567172
0.53                                    0.1433164
0.54                                    0.1566654
0.55                                    0.1710667
0.56                                    0.173962
0.57                                    0.1615153
0.58                                    0.1842869
0.59                                    0.174509
0.6                                     0.1844873
0.61                                    0.1774213
0.62                                    0.2113626
0.63                                    0.2078855
0.64                                    0.2150808
0.65                                    0.2203024
0.66                                    0.2317606
0.67                                    0.2328251
0.68                                    0.2452987
0.69                                    0.2789995
0.7                                     0.2434025
0.71                                    0.2512909
0.72                                    0.2522508
0.73                                    0.2940317
0.74                                    0.2829635
0.75                                    0.2863237
0.76                                    0.2929717
0.77                                    0.3138672
0.78                                    0.3323659
0.79                                    0.3199904
0.8                                     0.3140201
0.81                                    0.3375552
0.82                                    0.321329
0.83                                    0.3287897
0.84                                    0.3748541
0.85                                    0.3772616
0.86                                    0.3937462
0.87                                    0.4263577
0.88                                    0.443691
0.89                                    0.4425563
0.9                                     0.4370759
0.91                                    0.4513587
0.92                                    0.493708
0.93                                    0.4565537
0.94                                    0.4740856
0.95                                    0.5063134
0.96                                    0.5172989
0.97                                    0.5837106
0.98                                    0.6268314
0.99                                    0.5963793
1.0                                     0.9734643


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9703499
0.02                                    0.9007254
0.03                                    0.8550441
0.04                                    0.8270851
0.05                                    0.824106
0.06                                    0.7957024
0.07                                    0.7903408
0.08                                    0.8179477
0.09                                    0.7861481
0.1                                     0.7710908
0.11                                    0.7670497
0.12                                    0.7405496
0.13                                    0.7476176
0.14                                    0.7090146
0.15                                    0.7142485
0.16                                    0.7138674
0.17                                    0.716997
0.18                                    0.737824
0.19                                    0.7383896
0.2                                     0.6863554
0.21                                    0.6904171
0.22                                    0.6965799
0.23                                    0.691182
0.24                                    0.6667506
0.25                                    0.6815965
0.26                                    0.6407415
0.27                                    0.6608403
0.28                                    0.6448673
0.29                                    0.6130239
0.3                                     0.6417706
0.31                                    0.6194291
0.32                                    0.6202217
0.33                                    0.6540222
0.34                                    0.6184821
0.35                                    0.5998427
0.36                                    0.5820391
0.37                                    0.6196414
0.38                                    0.5871845
0.39                                    0.5719751
0.4                                     0.5869977
0.41                                    0.5714182
0.42                                    0.5726858
0.43                                    0.5925449
0.44                                    0.5365822
0.45                                    0.5590593
0.46                                    0.5531423
0.47                                    0.5571886
0.48                                    0.5385976
0.49                                    0.5372334
0.5                                     0.5517064
0.51                                    0.5547628
0.52                                    0.5255433
0.53                                    0.5509083
0.54                                    0.5435255
0.55                                    0.5192908
0.56                                    0.5187223
0.57                                    0.5298983
0.58                                    0.4917809
0.59                                    0.5249485
0.6                                     0.5244732
0.61                                    0.5188913
0.62                                    0.5149242
0.63                                    0.5106679
0.64                                    0.5191441
0.65                                    0.5024174
0.66                                    0.5064518
0.67                                    0.4847648
0.68                                    0.4794969
0.69                                    0.4790376
0.7                                     0.467452
0.71                                    0.4651314
0.72                                    0.4362507
0.73                                    0.4423787
0.74                                    0.3980644
0.75                                    0.3896526
0.76                                    0.3978458
0.77                                    0.4265796
0.78                                    0.3930431
0.79                                    0.4013786
0.8                                     0.3606157
0.81                                    0.3678832
0.82                                    0.3626824
0.83                                    0.3421772
0.84                                    0.3280297
0.85                                    0.3142848
0.86                                    0.2943003
0.87                                    0.3129998
0.88                                    0.2918198
0.89                                    0.295543
0.9                                     0.2585385
0.91                                    0.2824318
0.92                                    0.2425433
0.93                                    0.2143236
0.94                                    0.1876169
0.95                                    0.2437552
0.96                                    0.1896521
0.97                                    0.1611134
0.98                                    0.1259267
0.99                                    0.1240306
1.0                                     0.019675


# Two-point Correlation Function (1/um)
--------------------------------------------------
lag (px)                                Value
--------------------------------------------------
0.5                                     0.4565135
1.0                                     0.4531479
1.5                                     0.4388675
2.0                                     0.4381232
2.5                                     0.4382885
3.0                                     0.4275625
3.5                                     0.4320238
4.0                                     0.4183683
4.5                                     0.4112189
5.0                                     0.4170596
5.5                                     0.4046519
6.0                                     0.4070723
6.5                                     0.4103409
7.0                                     0.4021374
7.5                                     0.3954697
8.0                                     0.3982433
8.5                                     0.3947522
9.0                                     0.3918028
9.5                                     0.388541
10.0                                    0.3823705
10.5                                    0.3805196
11.0                                    0.376272
11.5                                    0.3569307
12.0                                    0.3759255
12.5                                    0.3692862
13.0                                    0.3687213
13.5                                    0.3602053
14.0                                    0.3591466
14.5                                    0.3652221
15.0                                    0.3532172
15.5                                    0.3605065
16.0                                    0.3664657
16.5                                    0.3664128
17.0                                    0.3444097
17.5                                    0.3510928
18.0                                    0.3394822
18.5                                    0.3511805
19.0                                    0.3363912
19.5                                    0.3451713
20.0                                    0.3421299
20.5                                    0.3433172
21.0                                    0.3599629
21.5                                    0.3430247
22.0                                    0.3403879
22.5                                    0.346335
23.0                                    0.3397533
23.5                                    0.3218613
24.0                                    0.3415246
24.5                                    0.3324262
25.0                                    0.3246028
25.5                                    0.3268597
26.0                                    0.3334553
26.5                                    0.3196545
27.0                                    0.3352838
27.5                                    0.3332137
28.0                                    0.3234116
28.5                                    0.3191986
29.0                                    0.3271153
29.5                                    0.3313719
30.0                                    0.3136479
30.5                                    0.3205083
31.0                                    0.3298191
31.5                                    0.3114851
32.0                                    0.3122397
32.5                                    0.3268004
33.0                                    0.3278345
33.5                                    0.3286076
34.0                                    0.3247058
34.5                                    0.3166961
35.0                                    0.3185204
35.5                                    0.3053265
36.0                                    0.3174322
36.5                                    0.3263174
37.0                                    0.3118965
37.5                                    0.3162843
38.0                                    0.3230065
38.5                                    0.3061801
39.0                                    0.3168625
39.5                                    0.297324
40.0                                    0.3037399
40.5                                    0.306977
41.0                                    0.318843
41.5                                    0.315396
42.0                                    0.3200037
42.5                                    0.3151591
43.0                                    0.3161382
43.5                                    0.2948782
44.0                                    0.3018463
44.5                                    0.3094076
45.0                                    0.3216637
45.5                                    0.3158389
46.0                                    0.3253918
46.5                                    0.3205491
47.0                                    0.3206489
47.5                                    0.3118145
48.0                                    0.3111126
48.5                                    0.2987125
49.0                                    0.2992975
49.5                                    0.3217666
50.0                                    0.3192512


# Pore Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    6.4272423
0.02                                    7.013644
0.03                                    7.5146857
0.04                                    9.158014
0.05                                    10.2409989
0.06                                    10.4465969
0.07                                    12.0212398
0.08                                    12.0166518
0.09                                    11.7091491
0.1                                     11.7447751
0.11                                    11.4996667
0.12                                    13.2456661
0.13                                    12.2441871
0.14                                    13.7236106
0.15                                    14.2266959
0.16                                    14.8706263
0.17                                    12.705975
0.18                                    12.98899
0.19                                    13.7105145
0.2                                     14.5971176
0.21                                    14.7208768
0.22                                    14.4248886
0.23                                    14.556366
0.24                                    16.0655293
0.25                                    14.6581972
0.26                                    14.8744896
0.27                                    14.5572458
0.28                                    15.1068284
0.29                                    14.0242656
0.3                                     17.0091892
0.31                                    16.4024755
0.32                                    17.3054094
0.33                                    14.6450121
0.34                                    15.2736988
0.35                                    15.8248878
0.36                                    16.2200916
0.37                                    18.080788
0.38                                    17.2554177
0.39                                    16.5283594
0.4                                     17.9064223
0.41                                    17.2973564
0.42                                    16.8884281
0.43                                    17.1132221
0.44                                    17.9595296
0.45                                    17.5058645
0.46                                    17.5229541
0.47                                    16.4663275
0.48                                    18.3630085
0.49                                    19.7998869
0.5                                     17.9040591
0.51                                    19.0373375
0.52                                    17.8960207
0.53                                    18.0185322
0.54                                    17.7232514
0.55                                    20.1401449
0.56                                    18.8936814
0.57                                    19.2128462
0.58                                    19.6343688
0.59                                    18.1141085
0.6                                     19.5937384
0.61                                    18.7110205
0.62                                    19.3300899
0.63                                    19.6643389
0.64                                    20.4123069
0.65                                    19.4293964
0.66                                    18.7049142
0.67                                    20.5534181
0.68                                    19.1831238
0.69                                    20.8017897
0.7                                     21.3398111
0.71                                    19.6284974
0.72                                    20.0005089
0.73                                    21.835525
0.74                                    21.252565
0.75                                    20.9264773
0.76                                    20.9195692
0.77                                    24.3275493
0.78                                    22.5501376
0.79                                    20.6696784
0.8                                     21.3380166
0.81                                    20.7749297
0.82                                    22.2946506
0.83                                    22.8128283
0.84                                    23.389548
0.85                                    23.9734511
0.86                                    22.5828416
0.87                                    22.6446864
0.88                                    22.6444919
0.89                                    22.0517247
0.9                                     24.0130779
0.91                                    24.7395527
0.92                                    25.5883795
0.93                                    23.0327986
0.94                                    24.1991498
0.95                                    26.5659158
0.96                                    24.8735301
0.97                                    25.2475582
0.98                                    28.0388706
0.99                                    28.978413
1.0                                     36.5496034


# Throat Radius Distribution (um)
--------------------------------------------------
Cumulative probability                  Value
--------------------------------------------------
0.01                                    3.6801189
0.02                                    5.1491255
0.03                                    5.0502776
0.04                                    5.6272106
0.05                                    6.9572908
0.06                                    5.9288978
0.07                                    7.594282
0.08                                    7.2743655
0.09                                    8.4173531
0.1                                     7.7717261
0.11                                    8.7277409
0.12                                    8.2562309
0.13                                    10.2400233
0.14                                    9.5432164
0.15                                    11.0456083
0.16                                    11.2329607
0.17                                    9.7612845
0.18                                    10.7717501
0.19                                    12.0352682
0.2                                     11.7066232
0.21                                    11.9933854
0.22                                    12.4128592
0.23                                    14.2061519
0.24                                    11.7010276
0.25                                    11.2051508
0.26                                    12.5666273
0.27                                    12.0523295
0.28                                    13.1386225
0.29                                    13.086649
0.3                                     13.4672001
0.31                                    10.9970864
0.32                                    14.2010869
0.33                                    14.4090203
0.34                                    15.3442444
0.35                                    13.5266037
0.36                                    15.5506972
0.37                                    14.0785279
0.38                                    14.4799315
0.39                                    13.8975573
0.4                                     13.9375159
0.41                                    14.9119789
0.42                                    15.358658
0.43                                    15.0542608
0.44                                    14.8481908
0.45                                    16.6393843
0.46                                    16.8038514
0.47                                    16.9690634
0.48                                    15.7587748
0.49                                    16.9015692
0.5                                     16.8430051
0.51                                    17.0559905
0.52                                    17.8742792
0.53                                    19.0745501
0.54                                    15.8795847
0.55                                    17.8012202
0.56                                    17.5227359
0.57                                    16.7264217
0.58                                    18.1691509
0.59                                    18.9099202
