DeePore output results including 15 single-value
paramters, 4 functions and 11 distributions
__________________________________________________
        ### Single-value parameters ###
__________________________________________________

Properties                              Value
--------------------------------------------------
Absolute Permeability (um2)             0.0028283
Formation Factor (ratio)                54.6758534
Cementation Factor (ratio)              2.2516087
pore density (1/um3)                    0.0017923
Tortuosity (ratio)                      1.5160029
Average Coordination Number             2.937958
Average Throat Radius (um)              1.367751
Average Pore Radius (um)                2.2085657
Average Throat Length (um)              6.9035455
Pore to Throat Aspect ratio             4.0513325
Specific Surface (1/um)                 0.0001542
Pore Sphericity (ratio)                 2.7050109
Grain Sphericity (ratio)                0.7876812
Average Grain Radius (um)               4.3005971
Relative Young Module (ratio)           0.2860358

__________________________________________________
       ### Functions and distributions ###
__________________________________________________


# Leveret J Function (ratio)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    1.0327707
0.02                                    1.1563051
0.03                                    1.1647016
0.04                                    1.0490379
0.05                                    1.0735351
0.06                                    1.0794326
0.07                                    1.1091735
0.08                                    1.0349257
0.09                                    1.0557245
0.1                                     0.9606283
0.11                                    1.0118414
0.12                                    1.102119
0.13                                    1.0188483
0.14                                    1.0238755
0.15                                    0.9488197
0.16                                    0.9326514
0.17                                    1.0456501
0.18                                    0.8566684
0.19                                    0.9103592
0.2                                     0.986438
0.21                                    0.9955979
0.22                                    0.9768981
0.23                                    1.0385577
0.24                                    0.9003758
0.25                                    1.0043483
0.26                                    0.8312791
0.27                                    0.9353528
0.28                                    0.9423353
0.29                                    0.8317029
0.3                                     0.9395358
0.31                                    0.920617
0.32                                    0.938843
0.33                                    0.9751831
0.34                                    0.8972781
0.35                                    0.9020602
0.36                                    0.9959885
0.37                                    0.9661757
0.38                                    0.9027981
0.39                                    0.9712076
0.4                                     1.0518004
0.41                                    1.0012314
0.42                                    0.8721856
0.43                                    0.975961
0.44                                    0.9157015
0.45                                    0.8747868
0.46                                    0.9097375
0.47                                    0.9232583
0.48                                    0.9593167
0.49                                    0.9933932
0.5                                     0.9578545
0.51                                    0.8343202
0.52                                    0.8894707
0.53                                    0.8929298
0.54                                    0.9276234
0.55                                    0.8470016
0.56                                    0.8620042
0.57                                    0.8163275
0.58                                    0.9027279
0.59                                    1.0155794
0.6                                     0.9663193
0.61                                    0.9688279
0.62                                    0.9252917
0.63                                    0.9094328
0.64                                    0.9245192
0.65                                    0.9226894
0.66                                    0.8885093
0.67                                    0.8185653
0.68                                    0.9066913
0.69                                    0.835591
0.7                                     0.9015742
0.71                                    0.7928394
0.72                                    0.9414958
0.73                                    0.804956
0.74                                    0.8974831
0.75                                    0.9514927
0.76                                    0.8843019
0.77                                    0.831891
0.78                                    0.7554828
0.79                                    0.9603185
0.8                                     0.8269649
0.81                                    0.7615472
0.82                                    0.8530809
0.83                                    0.9543691
0.84                                    0.7916082
0.85                                    0.8339013
0.86                                    0.8701264
0.87                                    0.7822607
0.88                                    0.7886041
0.89                                    0.9454257
0.9                                     0.8573609
0.91                                    0.8887526
0.92                                    0.8730752
0.93                                    0.8039632
0.94                                    0.7528417
0.95                                    0.7549252
0.96                                    0.6805458
0.97                                    0.8117331
0.98                                    0.6621223
0.99                                    0.602866
1.0                                     0.3688799


# Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.0211331
0.02                                    0.0186318
0.03                                    0.0146344
0.04                                    0.0182905
0.05                                    0.0171246
0.06                                    0.0249745
0.07                                    0.0136487
0.08                                    0.0278752
0.09                                    0.0195858
0.1                                     0.0154028
0.11                                    0.0126286
0.12                                    0.0227997
0.13                                    0.0187448
0.14                                    0.0187814
0.15                                    0.0104145
0.16                                    0.0239568
0.17                                    0.0203303
0.18                                    0.026089
0.19                                    0.0117144
0.2                                     0.0215221
0.21                                    0.0256396
0.22                                    0.0135951
0.23                                    0.0183456
0.24                                    0.02574
0.25                                    0.0376435
0.26                                    0.042439
0.27                                    0.0408006
0.28                                    0.0282197
0.29                                    0.0542328
0.3                                     0.0487011
0.31                                    0.050266
0.32                                    0.0548257
0.33                                    0.0532934
0.34                                    0.0551675
0.35                                    0.0636468
0.36                                    0.0664189
0.37                                    0.0714595
0.38                                    0.0724168
0.39                                    0.0906754
0.4                                     0.094574
0.41                                    0.0883443
0.42                                    0.0864317
0.43                                    0.1060849
0.44                                    0.1003839
0.45                                    0.1294873
0.46                                    0.122163
0.47                                    0.1167459
0.48                                    0.1232653
0.49                                    0.1287687
0.5                                     0.133877
0.51                                    0.1538671
0.52                                    0.1642413
0.53                                    0.1572106
0.54                                    0.160088
0.55                                    0.1849759
0.56                                    0.1980233
0.57                                    0.1978126
0.58                                    0.2046524
0.59                                    0.1924201
0.6                                     0.1986567
0.61                                    0.22368
0.62                                    0.2349505
0.63                                    0.2424935
0.64                                    0.2491985
0.65                                    0.2654224
0.66                                    0.283811
0.67                                    0.2694568
0.68                                    0.289194
0.69                                    0.3182966
0.7                                     0.2753336
0.71                                    0.3025461
0.72                                    0.2812778
0.73                                    0.3152086
0.74                                    0.3501903
0.75                                    0.3429965
0.76                                    0.3574139
0.77                                    0.3730462
0.78                                    0.3821681
0.79                                    0.377741
0.8                                     0.4468881
0.81                                    0.42833
0.82                                    0.4302659
0.83                                    0.4362764
0.84                                    0.4383817
0.85                                    0.4877849
0.86                                    0.4750522
0.87                                    0.5014108
0.88                                    0.5308439
0.89                                    0.5438938
0.9                                     0.5418056
0.91                                    0.5564251
0.92                                    0.5902715
0.93                                    0.6111358
0.94                                    0.6489282
0.95                                    0.6941309
0.96                                    0.6875937
0.97                                    0.7223489
0.98                                    0.7165724
0.99                                    0.7487179
1.0                                     0.9840952


# Non-Wetting Relative Permeability (fraction)
--------------------------------------------------
Wetting-sat (Sw)                        Value
--------------------------------------------------
0.01                                    0.9836452
0.02                                    0.9685043
0.03                                    0.9581434
0.04                                    0.9545196
0.05                                    0.948116
0.06                                    0.9365042
0.07                                    0.9228169
0.08                                    0.9017124
0.09                                    0.9017788
0.1                                     0.8928002
0.11                                    0.883027
0.12                                    0.8633575
0.13                                    0.833393
0.14                                    0.842463
0.15                                    0.8346155
0.16                                    0.8146603
0.17                                    0.8095715
0.18                                    0.7770398
0.19                                    0.7713132
0.2                                     0.7919052
0.21                                    0.7596192
0.22                                    0.7460454
0.23                                    0.7413049
0.24                                    0.7048281
0.25                                    0.7187394
0.26                                    0.6978562
0.27                                    0.7023253
0.28                                    0.6868297
0.29                                    0.6694304
0.3                                     0.6779835
0.31                                    0.6492171
0.32                                    0.6574529
0.33                                    0.6462364
0.34                                    0.6470832
0.35                                    0.6331151
